<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20210625,84.7000,85.4000,84.2000,85.2000,1503400
FPT,20210624,84.3000,84.9000,83.9000,84.7000,1657800
FPT,20210623,85.3000,85.6000,84.1000,84.9000,1599900
FPT,20210622,86.1000,86.6000,85.4000,85.4000,1760300
FPT,20210621,85.6000,86.3000,83.2000,85.6000,3878300
FPT,20210618,83.1000,84.2000,82.7000,83.8000,1681700
FPT,20210617,82.1000,83.1000,82.1000,82.6000,2236400
FPT,20210616,83.2000,84.6000,82.7000,83.1000,2462000
FPT,20210615,83.8000,84.5000,83.2000,83.2000,1778700
FPT,20210614,83.5000,84.6000,83.0000,83.8000,2547600
FPT,20210611,81.5000,83.9000,81.3000,83.5000,2359600
FPT,20210610,81.7000,82.5000,81.0000,81.9000,2214900
FPT,20210609,80.6000,82.1000,79.0000,81.7000,3576100
FPT,20210608,82.0000,83.0000,80.6000,80.8000,3486000
FPT,20210607,84.6000,84.7000,81.0000,82.7000,3711200
FPT,20210604,85.0000,85.1000,83.8000,84.7000,3820600
FPT,20210603,85.0000,85.4000,84.3000,85.2000,3190800
FPT,20210602,87.1000,87.5000,85.0000,85.5000,3053900
FPT,20210601,87.9000,88.5000,87.0000,87.1000,3495000
FPT,20210531,82.1930,84.3446,81.5044,84.2585,3237700
FPT,20210528,80.9019,81.7626,80.6437,81.5905,1874300
FPT,20210527,82.0208,82.1069,80.4716,80.7298,1745800
FPT,20210526,81.0741,82.1929,80.6437,82.0208,1992800
FPT,20210525,80.7298,81.9347,79.8691,80.7298,2156300
FPT,20210524,80.7298,80.8159,79.2667,80.4716,2669500
FPT,20210521,81.1602,83.1397,80.0414,80.7298,3222700
FPT,20210520,78.1479,82.1930,77.8036,82.1930,3523900
FPT,20210519,75.3077,78.4061,74.7053,78.1479,2876300
FPT,20210518,74.8774,75.2216,74.1888,74.8774,2133500
FPT,20210517,73.8446,74.5331,73.3282,73.7585,1744500
FPT,20210514,72.5536,74.1889,72.3815,72.9839,1858700
