<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20210625,96.0000,98.0000,95.1000,98.0000,1539200
GAS,20210624,94.0000,96.7000,93.9000,95.8000,1357600
GAS,20210623,94.8000,95.2000,92.8000,93.9000,907200
GAS,20210622,94.5000,95.2000,93.5000,94.9000,1273100
GAS,20210621,93.0000,96.0000,92.6000,93.0000,967400
GAS,20210618,93.7000,93.8000,92.5000,92.7000,753100
GAS,20210617,90.9000,94.5000,90.5000,93.9000,1664700
GAS,20210616,89.8000,92.5000,89.5000,91.9000,2150100
GAS,20210615,89.5000,89.8000,88.5000,88.7000,548600
GAS,20210614,89.0000,90.4000,88.0000,89.5000,1645200
GAS,20210611,87.0000,87.3000,86.2000,87.0000,390700
GAS,20210610,86.5000,87.2000,85.5000,86.1000,1036100
GAS,20210609,88.4000,89.0000,86.1000,87.4000,866600
GAS,20210608,89.7000,90.6000,87.6000,88.1000,972400
GAS,20210607,91.9000,92.1000,86.0000,90.7000,1617400
GAS,20210604,87.8000,91.8000,85.0000,91.4000,2154200
GAS,20210603,89.0000,89.0000,88.0000,88.3000,1263100
GAS,20210602,84.3000,87.5000,84.0000,87.4000,1981500
GAS,20210601,84.9000,84.9000,83.6000,83.7000,1013500
GAS,20210531,81.9000,82.7000,80.8000,82.6000,853700
GAS,20210528,81.1000,82.4000,80.5000,82.0000,655400
GAS,20210527,81.7000,82.0000,80.0000,80.1000,687500
GAS,20210526,82.2000,82.7000,81.9000,81.9000,414400
GAS,20210525,82.0000,83.2000,82.1000,82.9000,594700
GAS,20210524,81.6000,82.5000,81.3000,82.0000,504600
GAS,20210521,80.0000,81.8000,79.8000,81.0000,596800
GAS,20210520,81.8000,81.8000,80.3000,80.8000,714400
GAS,20210519,82.0000,83.0000,81.5000,81.6000,299500
GAS,20210518,82.0000,83.0000,81.3000,82.0000,1096100
GAS,20210517,85.0000,85.0000,82.2000,82.5000,1039300
GAS,20210514,85.1000,85.6000,83.5000,84.1000,825800
GAS,20210513,86.4000,86.6000,85.5000,85.6000,549200
GAS,20210512,85.5000,86.4000,85.1000,86.4000,616200
GAS,20210511,85.7000,86.1000,85.0000,85.3000,737800
GAS,20210510,83.5000,86.0000,83.0000,86.0000,763900
GAS,20210507,84.0000,84.9000,82.0000,84.0000,856900
GAS,20210506,85.8000,85.8000,84.4000,84.9000,911300
GAS,20210505,84.5000,86.0000,84.0000,85.5000,919800
GAS,20210504,83.0000,83.3000,82.0000,83.3000,930600
GAS,20210429,83.0000,83.6000,82.3000,83.5000,624400
GAS,20210428,81.5000,82.5000,81.1000,81.9000,631900
GAS,20210427,81.5000,82.0000,80.2000,81.5000,791100
GAS,20210426,85.6000,85.6000,81.5000,81.5000,1072100
GAS,20210423,85.7000,86.0000,84.0000,86.0000,849600
GAS,20210422,88.0000,88.0000,85.8000,85.8000,1101600
GAS,20210420,87.5000,89.0000,87.1000,88.0000,1410500
GAS,20210419,86.0000,87.2000,85.6000,87.2000,577300
GAS,20210416,86.0000,87.0000,85.5000,86.0000,590300
GAS,20210415,87.8000,88.3000,85.5000,86.0000,1471400
GAS,20210414,86.0000,87.8000,85.5000,86.5000,741700
GAS,20210413,87.6000,87.9000,85.7000,86.0000,1358600
GAS,20210412,89.0000,89.1000,86.8000,87.9000,1911900
GAS,20210409,89.0000,89.9000,88.5000,88.8000,379200
GAS,20210408,90.0000,90.0000,88.9000,89.0000,684700
GAS,20210407,89.9000,91.0000,89.0000,89.1000,1201200
GAS,20210406,89.3000,89.8000,89.0000,89.7000,674800
GAS,20210405,90.5000,91.2000,89.4000,89.4000,723500
GAS,20210402,91.3000,91.7000,90.3000,90.3000,951100
GAS,20210401,89.8000,90.6000,89.6000,90.6000,632100
GAS,20210331,89.2000,90.7000,89.0000,89.7000,630300
GAS,20210330,89.5000,90.0000,89.0000,89.6000,588000
GAS,20210329,90.0000,90.5000,89.0000,89.5000,257900
GAS,20210326,89.3000,89.5000,86.0000,89.2000,375100
GAS,20210325,90.1000,91.8000,89.0000,90.3000,635700
GAS,20210324,89.0000,90.1000,88.8000,90.1000,729000
GAS,20210323,90.0000,92.0000,89.9000,91.8000,563500
GAS,20210322,90.5000,91.6000,90.0000,90.5000,510900
GAS,20210319,90.5000,90.9000,89.7000,90.9000,966800
GAS,20210318,92.9000,93.0000,91.5000,91.8000,276400
GAS,20210317,90.4000,95.0000,89.6000,92.8000,798700
GAS,20210316,91.1000,91.5000,89.7000,90.3000,893400
GAS,20210315,91.5000,92.0000,91.1000,91.1000,398200
GAS,20210312,93.0000,93.0000,90.9000,91.1000,398400
GAS,20210311,93.0000,93.0000,92.0000,92.7000,337200
